# Mag err HJD-2450000 Dec errDec RA errRA
17.8314 0.010 9158.3485 0.1546 0.9 0.1802 0.9
17.8447 0.010 9159.3586 0.0994 1.0 0.0749 0.9
17.8684 0.010 9160.3687 0.1106 1.0 -0.0189 1.0
17.8713 0.010 9161.3788 0.0291 1.0 0.1325 0.8
17.8709 0.010 9162.3889 0.0536 0.8 0.0972 0.9
17.8890 0.010 9163.3990 -0.0588 0.8 -0.0480 0.8
17.8919 0.010 9164.4091 0.0262 1.0 0.1798 0.9
17.9072 0.010 9165.4192 0.1174 1.0 -0.0179 0.9
17.8966 0.010 9166.4293 0.0830 0.9 -0.0407 0.8
17.9060 0.010 9167.4394 0.0557 1.0 0.1381 1.0
17.9107 0.010 9168.4495 0.0729 0.9 -0.0865 0.8
17.9049 0.010 9169.4596 0.0313 0.9 -0.0742 0.9
17.9272 0.010 9170.4697 0.0482 0.9 -0.1459 1.0
17.9311 0.010 9171.4798 0.0873 0.9 -0.0316 0.9
17.9326 0.010 9172.4899 0.0987 1.0 -0.0543 1.0
17.9339 0.010 9173.5000 -0.1301 0.9 0.1052 1.0
